ID,Problem,Instance,SolverId,ConfigId,Solved,Optimally,Objective,NoSolutions,ElapsedSecs,ID,Timeout,SearchType,SPD,MIF,PropRed,LnsProb,LnsIter
74,soft-queens,soft-queens-30.dzn,0,12,1,1,5,2,10.105104208,12,600000,4,0,0,1,0.3,10
75,soft-queens,soft-queens-16.dzn,5,4,1,1,0,1,0.024975088,4,600000,3,1,1,0,0.3,10
76,soft-queens,soft-queens-8.dzn,0,7,1,1,1,2,0.079004731,7,600000,4,1,1,1,0.3,10
77,soft-queens,soft-queens-16.dzn,2,11,1,1,0,1,0.203259049,11,600000,3,1,0,0,0.3,10
78,soft-queens,soft-queens-16.dzn,0,14,1,1,1,5,0.16205863,14,600000,1,1,0,1,0.3,10
79,soft-queens,soft-queens-30.dzn,1,5,1,1,0,5,171.169516207,5,600000,3,0,0,0,0.3,10
80,soft-queens,soft-queens-8.dzn,6,7,1,1,1,2,0.088811445,7,600000,4,1,1,1,0.3,10
81,soft-queens,soft-queens-8.dzn,6,12,1,1,1,5,0.110438116,12,600000,4,0,0,1,0.3,10
82,soft-queens,soft-queens-8.dzn,1,7,1,1,1,2,0.333568302,7,600000,4,1,1,1,0.3,10
83,soft-queens,soft-queens-16.dzn,6,14,1,1,1,4,0.147550745,14,600000,1,1,0,1,0.3,10
84,soft-queens,soft-queens-16.dzn,1,4,1,1,0,1,0.185266307,4,600000,3,1,1,0,0.3,10
85,soft-queens,soft-queens-16.dzn,6,9,1,1,0,2,0.116078359,9,600000,1,1,1,1,0.3,10
86,soft-queens,soft-queens-16.dzn,1,9,1,1,0,2,0.34706157,9,600000,1,1,1,1,0.3,10
87,soft-queens,soft-queens-16.dzn,1,14,1,1,0,5,0.915108741,14,600000,1,1,0,1,0.3,10
88,soft-queens,soft-queens-30.dzn,0,10,1,1,1,4,0.255451082,10,600000,2,0,0,0,0.3,10
89,soft-queens,soft-queens-16.dzn,0,4,1,1,0,1,0.024574734,4,600000,3,1,1,0,0.3,10
90,soft-queens,soft-queens-8.dzn,1,4,1,1,1,1,0.147271516,4,600000,3,1,1,0,0.3,10
91,soft-queens,soft-queens-8.dzn,6,11,1,1,1,3,0.024608111,11,600000,3,1,0,0,0.3,10
92,soft-queens,soft-queens-8.dzn,1,3,1,1,1,5,0.785336553,3,600000,1,0,0,1,0.3,10
93,soft-queens,soft-queens-16.dzn,2,5,1,1,0,1,0.253634635,5,600000,3,0,0,0,0.3,10
94,soft-queens,soft-queens-16.dzn,0,10,1,1,1,4,0.155491628,10,600000,2,0,0,0,0.3,10
95,soft-queens,soft-queens-16.dzn,6,5,1,1,0,5,0.035042544,5,600000,3,0,0,0,0.3,10
96,soft-queens,soft-queens-8.dzn,0,14,1,1,1,4,0.105578146,14,600000,1,1,0,1,0.3,10
97,soft-queens,soft-queens-30.dzn,0,7,1,1,0,2,0.096680947,7,600000,4,1,1,1,0.3,10
98,soft-queens,soft-queens-16.dzn,1,5,1,1,0,4,0.178098198,5,600000,3,0,0,0,0.3,10
99,soft-queens,soft-queens-16.dzn,1,3,1,1,0,5,0.820201992,3,600000,1,0,0,1,0.3,10
100,soft-queens,soft-queens-8.dzn,6,14,1,1,1,4,0.12651178,14,600000,1,1,0,1,0.3,10
101,soft-queens,soft-queens-8.dzn,1,14,1,1,1,4,0.693229824,14,600000,1,1,0,1,0.3,10
102,soft-queens,soft-queens-16.dzn,6,13,1,1,0,2,0.125792658,13,600000,1,0,1,1,0.3,10
103,soft-queens,soft-queens-8.dzn,2,11,1,1,1,1,0.203797435,11,600000,3,1,0,0,0.3,10
104,soft-queens,soft-queens-16.dzn,0,13,1,1,0,2,0.084080369,13,600000,1,0,1,1,0.3,10
105,soft-queens,soft-queens-8.dzn,4,8,1,1,1,1,0.321582422,8,600000,3,0,1,0,0.3,10
106,soft-queens,soft-queens-16.dzn,0,2,1,1,0,2,0.084949302,2,600000,4,0,1,1,0.3,10
107,soft-queens,soft-queens-30.dzn,0,5,1,0,5,1,630.000773829,5,600000,3,0,0,0,0.3,10
108,soft-queens,soft-queens-8.dzn,3,8,1,1,1,1,0.023838598,8,600000,3,0,1,0,0.3,10
109,soft-queens,soft-queens-16.dzn,1,8,1,1,0,1,0.166441829,8,600000,3,0,1,0,0.3,10
110,soft-queens,soft-queens-30.dzn,0,4,1,1,0,1,0.029781608,4,600000,3,1,1,0,0.3,10
111,soft-queens,soft-queens-8.dzn,1,13,1,1,1,2,0.327403306,13,600000,1,0,1,1,0.3,10
112,soft-queens,soft-queens-8.dzn,0,8,1,1,1,1,0.024147251,8,600000,3,0,1,0,0.3,10
113,soft-queens,soft-queens-8.dzn,4,11,1,1,1,2,0.322070963,11,600000,3,1,0,0,0.3,10
114,soft-queens,soft-queens-8.dzn,0,3,1,1,1,4,0.097166971,3,600000,1,0,0,1,0.3,10
115,soft-queens,soft-queens-30.dzn,0,13,1,1,0,2,0.097478318,13,600000,1,0,1,1,0.3,10
116,soft-queens,soft-queens-16.dzn,5,11,1,1,0,4,0.045390668,11,600000,3,1,0,0,0.3,10
117,soft-queens,soft-queens-30.dzn,1,13,1,1,0,2,0.376992379,13,600000,1,0,1,1,0.3,10
118,soft-queens,soft-queens-16.dzn,1,6,1,1,0,5,0.818211805,6,600000,4,1,0,1,0.3,10
119,soft-queens,soft-queens-30.dzn,0,11,1,0,4,1,630.000792175,11,600000,3,1,0,0,0.3,10
120,soft-queens,soft-queens-30.dzn,0,14,1,1,4,2,10.116887311,14,600000,1,1,0,1,0.3,10
121,soft-queens,soft-queens-8.dzn,3,4,1,1,1,1,0.022755819,4,600000,3,1,1,0,0.3,10
122,soft-queens,soft-queens-30.dzn,1,1,1,1,0,2,0.267844941,1,600000,2,0,1,0,0.3,10
123,soft-queens,soft-queens-16.dzn,0,11,1,1,0,4,0.036818296,11,600000,3,1,0,0,0.3,10
124,soft-queens,soft-queens-8.dzn,1,12,1,1,1,5,0.76656614,12,600000,4,0,0,1,0.3,10
125,soft-queens,soft-queens-8.dzn,6,5,1,1,1,4,0.024451207,5,600000,3,0,0,0,0.3,10
126,soft-queens,soft-queens-30.dzn,0,3,1,1,5,2,10.105276209,3,600000,1,0,0,1,0.3,10
